Date,Price 
"Nov 6, 2023",4365.98
"Nov 1, 2023",4274.79
"Oct 1, 2023",4269.4
"Sep 1, 2023",4409.1
"Aug 1, 2023",4457.36
"Jul 1, 2023",4508.08
"Jun 1, 2023",4345.37
"May 1, 2023",4146.17
"Apr 1, 2023",4121.47
"Mar 1, 2023",3968.56
"Feb 1, 2023",4079.68
"Jan 1, 2023",3960.66
"Dec 1, 2022",3912.38
"Nov 1, 2022",3917.49
"Oct 1, 2022",3726.05
"Sep 1, 2022",3850.52
"Aug 1, 2022",4158.56
"Jul 1, 2022",3911.73
"Jun 1, 2022",3898.95
"May 1, 2022",4040.36
"Apr 1, 2022",4391.3
"Mar 1, 2022",4391.27
"Feb 1, 2022",4435.98
"Jan 1, 2022",4573.82
"Dec 1, 2021",4674.77
"Nov 1, 2021",4667.39
"Oct 1, 2021",4460.71
"Sep 1, 2021",4445.54
"Aug 1, 2021",4454.21
"Jul 1, 2021",4363.71
"Jun 1, 2021",4238.49
"May 1, 2021",4167.85
"Apr 1, 2021",4141.18
"Mar 1, 2021",3910.51
"Feb 1, 2021",3883.43
"Jan 1, 2021",3793.75
"Dec 1, 2020",3695.31
"Nov 1, 2020",3548.99
"Oct 1, 2020",3418.7
"Sep 1, 2020",3365.52
"Aug 1, 2020",3391.71
"Jul 1, 2020",3207.62
"Jun 1, 2020",3104.66
"May 1, 2020",2919.61
"Apr 1, 2020",2761.98
"Mar 1, 2020",2652.39
"Feb 1, 2020",3277.31
"Jan 1, 2020",3278.2
"Dec 1, 2019",3176.75
"Nov 1, 2019",3104.9
"Oct 1, 2019",2977.68
"Sep 1, 2019",2982.16
"Aug 1, 2019",2897.5
"Jul 1, 2019",2996.11
"Jun 1, 2019",2890.17
"May 1, 2019",2854.71
"Apr 1, 2019",2903.8
"Mar 1, 2019",2803.98
"Feb 1, 2019",2754.86
"Jan 1, 2019",2607.39
"Dec 1, 2018",2567.31
"Nov 1, 2018",2723.23
"Oct 1, 2018",2785.46
"Sep 1, 2018",2901.5
"Aug 1, 2018",2857.82
"Jul 1, 2018",2793.64
"Jun 1, 2018",2754.35
"May 1, 2018",2701.49
"Apr 1, 2018",2653.63
"Mar 1, 2018",2702.77
"Feb 1, 2018",2705.16
"Jan 1, 2018",2789.8
"Dec 1, 2017",2664.34
"Nov 1, 2017",2593.61
"Oct 1, 2017",2557
"Sep 1, 2017",2492.84
"Aug 1, 2017",2456.22
"Jul 1, 2017",2454.1
"Jun 1, 2017",2433.99
"May 1, 2017",2395.35
"Apr 1, 2017",2359.31
"Mar 1, 2017",2366.82
"Feb 1, 2017",2329.91
"Jan 1, 2017",2275.12
"Dec 1, 2016",2246.63
"Nov 1, 2016",2164.99
"Oct 1, 2016",2143.02
"Sep 1, 2016",2157.69
"Aug 1, 2016",2170.95
"Jul 1, 2016",2148.9
"Jun 1, 2016",2083.89
"May 1, 2016",2065.55
"Apr 1, 2016",2075.54
"Mar 1, 2016",2021.95
"Feb 1, 2016",1904.42
"Jan 1, 2016",1918.6
"Dec 1, 2015",2054.08
"Nov 1, 2015",2080.62
"Oct 1, 2015",2024.81
"Sep 1, 2015",1944.41
"Aug 1, 2015",2039.87
"Jul 1, 2015",2094.14
"Jun 1, 2015",2099.29
"May 1, 2015",2111.94
"Apr 1, 2015",2094.86
"Mar 1, 2015",2079.99
"Feb 1, 2015",2082.2
"Jan 1, 2015",2028.18
"Dec 1, 2014",2054.27
"Nov 1, 2014",2044.57
"Oct 1, 2014",1937.27
"Sep 1, 2014",1993.23
"Aug 1, 2014",1961.53
"Jul 1, 2014",1973.1
"Jun 1, 2014",1947.09
"May 1, 2014",1889.77
"Apr 1, 2014",1864.26
"Mar 1, 2014",1863.52
"Feb 1, 2014",1817.04
"Jan 1, 2014",1822.36
"Dec 1, 2013",1807.78
"Nov 1, 2013",1783.54
"Oct 1, 2013",1720.03
"Sep 1, 2013",1687.17
"Aug 1, 2013",1670.09
"Jul 1, 2013",1668.68
"Jun 1, 2013",1618.77
"May 1, 2013",1639.84
"Apr 1, 2013",1570.7
"Mar 1, 2013",1550.83
"Feb 1, 2013",1512.31
"Jan 1, 2013",1480.4
"Dec 1, 2012",1422.29
"Nov 1, 2012",1394.51
"Oct 1, 2012",1437.82
"Sep 1, 2012",1443.42
"Aug 1, 2012",1403.45
"Jul 1, 2012",1359.78
"Jun 1, 2012",1323.48
"May 1, 2012",1341.27
"Apr 1, 2012",1386.43
"Mar 1, 2012",1389.24
"Feb 1, 2012",1352.49
"Jan 1, 2012",1300.58
"Dec 1, 2011",1243.32
"Nov 1, 2011",1226.42
"Oct 1, 2011",1207.22
"Sep 1, 2011",1173.88
"Aug 1, 2011",1185.31
"Jul 1, 2011",1325.19
"Jun 1, 2011",1287.29
"May 1, 2011",1338.31
"Apr 1, 2011",1331.51
"Mar 1, 2011",1304.49
"Feb 1, 2011",1321.12
"Jan 1, 2011",1282.62
"Dec 1, 2010",1241.53
"Nov 1, 2010",1198.89
"Oct 1, 2010",1171.58
"Sep 1, 2010",1122.08
"Aug 1, 2010",1087.28
"Jul 1, 2010",1079.8
"Jun 1, 2010",1083.36
"May 1, 2010",1125.06
"Apr 1, 2010",1197.32
"Mar 1, 2010",1152.05
"Feb 1, 2010",1089.16
"Jan 1, 2010",1123.58
"Dec 1, 2009",1110.38
"Nov 1, 2009",1088.07
"Oct 1, 2009",1067.66
"Sep 1, 2009",1044.55
"Aug 1, 2009",1009.73
"Jul 1, 2009",935.82
"Jun 1, 2009",926.12
"May 1, 2009",902.41
"Apr 1, 2009",848.15
"Mar 1, 2009",757.13
"Feb 1, 2009",805.23
"Jan 1, 2009",865.58
"Dec 1, 2008",877.56
"Nov 1, 2008",883.04
"Oct 1, 2008",968.8
"Sep 1, 2008",1216.95
"Aug 1, 2008",1281.47
"Jul 1, 2008",1257.33
"Jun 1, 2008",1341.25
"May 1, 2008",1403.22
"Apr 1, 2008",1370.47
"Mar 1, 2008",1316.94
"Feb 1, 2008",1354.87
"Jan 1, 2008",1378.76
"Dec 1, 2007",1479.22
"Nov 1, 2007",1463.39
"Oct 1, 2007",1539.66
"Sep 1, 2007",1497.12
"Aug 1, 2007",1454.62
"Jul 1, 2007",1520.71
"Jun 1, 2007",1514.19
"May 1, 2007",1511.14
"Apr 1, 2007",1463.64
"Mar 1, 2007",1406.95
"Feb 1, 2007",1444.8
"Jan 1, 2007",1424.16
"Dec 1, 2006",1416.42
"Nov 1, 2006",1388.64
